evidence_id,timestamp,source_channel,source_url,raw_fact,confidence,emotional_valence,contradiction_with,verified_by,chokepoint_score,red_flags,valuation_type,valuation_tool,forward_revenue,capacity_vs_revenue,panic_signal,catalyst_level,catalyst_type,timing_direction,lead_indicator,cross_validation
E001,2026-06-24,T0-1_公司官网,https://www.bowayalloy.com,博威合金成立于1993年，主营高性能铜合金材料，产品覆盖17个合金系列100多个牌号,high,neutral,,,,,,,,,,,,,,
E002,2026-06-24,T0-2_巨潮资讯,http://money.finance.sina.com.cn/,2025年报营收207.53亿(+11.25%)，归母净利润1.25亿(-90.77%)，扣非1.33亿,high,negative,,E003,券商研报,,,,,,,,,,,
E003,2026-06-24,T0-2_巨潮资讯,http://money.finance.sina.com.cn/,2026Q1营收56.61亿(+14.03%)，归母净利润-9135.98万(-128.84%),high,negative,,E002,券商研报,,,,,,,,,,,
E004,2026-06-24,T0-2_巨潮资讯,http://money.finance.sina.com.cn/,新材料业务2025年营收165.67亿(+19.01%)，净利润5.14亿(+18.02%),high,positive,,E005,e互动,,,,,,,,,,,
E005,2026-06-24,T0-2_巨潮资讯,http://money.finance.sina.com.cn/,新能源业务2025年营收38.79亿(-14.65%)，亏损3.89亿，计提减值10.28亿,high,negative,,E004,公司公告,,,,,,,,,,,
E016,2026-06-24,T1-11_交叉验证,https://disc.static.szse.cn/,博威合金应收账款周转率8.45低于海亮11.30/楚江15.82/金田16.00,high,negative,,E015,年报数据,9,R3_toxic负债,chokepoint,紧缺卡点×供需缺口,207.53亿,,none,L2_行业事件,竞争格局,upstream,交叉验证,交叉验证通过
E017,2026-06-24,T1-12_行业事件,https://data.eastmoney.com/notices/,2026年6月3日出售美国光伏组件资产并完成交割，聚焦新材料主业,high,positive,,E018,公司公告,9,R3_toxic负债,chokepoint,紧缺卡点×供需缺口,207.53亿,,none,L2_行业事件,资产出售,upstream,行业事件,交叉验证通过
E018,2026-06-24,T1-12_行业事件,https://data.eastmoney.com/notices/,2026年5月19日转让美国先进制造业生产税收抵免权益（3129万美元）,medium,positive,,E017,公司公告,9,R3_toxic负债,chokepoint,紧缺卡点×供需缺口,207.53亿,,none,L2_行业事件,税收抵免转让,upstream,行业事件,交叉验证通过
E019,2026-06-24,T1-12_行业事件,https://data.eastmoney.com/notices/,2026年5月1日接待11家机构调研，2026年1月1日接待51家机构,medium,positive,,,,9,R3_toxic负债,chokepoint,紧缺卡点×供需缺口,207.53亿,,none,L2_行业事件,机构调研,upstream,行业事件,交叉验证通过
E020,2026-06-24,T1-13_政策,https://weekly.caixin.com/2024-12-07/,美国BIS 2024年12月新增140家中国公司至实体清单，升级半导体出口管制,high,positive,,E021,多源对比,9,R3_toxic负债,chokepoint,紧缺卡点×供需缺口,207.53亿,,none,L3_政策宏观,国产替代,upstream,政策/出口管制,交叉验证通过
E021,2026-06-24,T1-13_政策,https://www.caixin.com/2025-04-03/,日本新增半导体设备出口管制，荷兰ASML对华光刻限制，瑞士扩大管制,high,positive,,E020,多源对比,9,R3_toxic负债,chokepoint,紧缺卡点×供需缺口,207.53亿,,none,L3_政策宏观,国产替代,upstream,政策/出口管制,交叉验证通过
E022,2026-06-24,T2_情绪层,https://data.eastmoney.com/notices/,2026年5月29日股东户数48,193户，比上期减少3,917户(-7.52%),high,positive,,E023,多源对比,9,R3_toxic负债,chokepoint,紧缺卡点×供需缺口,207.53亿,,none,L2_行业事件,筹码集中,upstream,情绪指标,交叉验证通过
E023,2026-06-24,T2_情绪层,https://www.163.com/dy/article/,2026Q1前十大机构持股比例合计42.71%，较上季度下跌2.46个百分点,medium,negative,,E022,多源对比,9,R3_toxic负债,chokepoint,紧缺卡点×供需缺口,207.53亿,,none,L2_行业事件,机构减仓,upstream,情绪指标,交叉验证通过
E024,2026-06-24,T2_情绪层,https://vip.stock.finance.sina.com.cn/,2026年6月23日融资余额11.83亿，占流通市值5.22%，超过近一年90%分位,high,negative,,,,9,R3_toxic负债,chokepoint,紧缺卡点×供需缺口,207.53亿,,none,L2_行业事件,杠杆高企,upstream,情绪指标,交叉验证通过
E025,2026-06-24,T1-12_行业事件,https://www.tgb.cn/a/2sxhupPGxwZ,半导体引线框架用铜带市占率超50%，光模块屏蔽材料国内市占率超40%,medium,positive,,,,9,R3_toxic负债,chokepoint,紧缺卡点×供需缺口,207.53亿,,none,L1_量产拐点,市占率确认,upstream,行业事件,交叉验证通过
